Date,Cured,Deaths,Confirmed
2020-05-24,0,0,1
2020-05-25,0,0,1
2020-05-26,0,0,1
2020-05-27,0,0,1
2020-05-28,0,0,1
2020-05-29,0,0,1
2020-05-30,0,0,1
2020-05-31,0,0,1
2020-06-01,0,0,1
2020-06-02,0,0,1
2020-06-03,0,0,1
2020-06-04,0,0,2
2020-06-05,0,0,2
2020-06-06,0,0,3
2020-06-07,0,0,7
2020-06-08,0,0,7
2020-06-09,0,0,7
2020-06-10,0,0,13
2020-06-11,0,0,13
2020-06-12,2,0,14
2020-06-13,2,0,63
2020-06-14,4,0,63
2020-06-15,4,0,68
2020-06-16,4,0,68
2020-06-17,4,0,70
2020-06-18,4,0,70
2020-06-19,5,0,70
2020-06-20,5,0,70
2020-06-21,25,0,70
2020-06-22,25,0,78
2020-06-23,29,0,78
2020-06-24,29,0,79
2020-06-25,39,0,84
2020-06-26,39,0,85
2020-06-27,39,0,86
2020-06-28,46,0,87
2020-06-29,49,0,88
2020-06-30,50,0,88
2020-07-01,52,0,89
2020-07-02,53,0,101
2020-07-03,53,0,102
2020-07-04,53,0,102
2020-07-05,58,0,103
2020-07-06,61,0,123
2020-07-07,65,0,125
2020-07-08,70,0,125
2020-07-09,71,0,133
2020-07-10,72,0,134
2020-07-11,80,0,134
2020-07-12,80,0,151
2020-07-13,81,0,153
2020-07-14,86,0,192
2020-07-15,87,0,209
2020-07-16,87,0,220
2020-07-17,88,0,243
2020-07-18,90,0,266
2020-07-19,90,0,275
2020-07-20,92,0,283
2020-07-21,92,0,305
2020-07-22,108,0,330
2020-07-23,112,0,438
2020-07-24,122,0,460
2020-07-25,142,0,477
2020-07-26,142,0,499
2020-07-27,148,0,545
2020-07-28,174,1,555
2020-07-29,186,1,579
2020-07-30,198,1,596
2020-07-31,214,1,610
2020-08-01,231,1,639
2020-08-02,269,1,650
2020-08-03,289,1,658
2020-08-04,297,1,688
2020-08-05,299,1,783
2020-08-06,303,1,800
2020-08-07,353,1,829
2020-08-08,406,1,854
2020-08-09,470,1,860
2020-08-10,494,1,866
2020-08-11,510,1,910
2020-08-12,534,1,913
2020-08-13,550,1,930
2020-08-14,581,1,931
2020-08-15,623,1,1080
2020-08-16,661,1,1148
2020-08-17,673,1,1167
2020-08-18,701,1,1187
2020-08-19,755,2,1207
2020-08-20,789,3,1232
2020-08-21,827,3,1290
2020-08-22,834,3,1336
2020-08-23,871,3,1381
2020-08-24,871,3,1403
2020-08-25,934,3,1446
2020-08-26,1054,3,1475
2020-08-27,1076,3,1486
2020-08-28,1151,3,1542
2020-08-29,1184,3,1576
2020-08-30,1195,3,1602
2020-08-31,1220,3,1627
2020-09-01,1225,3,1652
2020-09-02,1237,4,1670
2020-09-03,1269,4,1704
2020-09-04,1304,4,1738
2020-09-05,1329,5,1843
2020-09-06,1347,5,1901
2020-09-07,1371,5,1910
2020-09-08,1396,5,1939
2020-09-09,1413,7,1958
2020-09-10,1429,7,1989
2020-09-11,1470,7,2009
2020-09-12,1486,8,2026
2020-09-13,1503,11,2055
2020-09-14,1505,14,2086
2020-09-15,1521,16,2119
2020-09-16,1690,19,2173
2020-09-17,1722,19,2221
2020-09-18,1789,22,2274
2020-09-19,1857,24,2303
2020-09-20,1972,25,2423
2020-09-21,1975,28,2472
2020-09-22,1986,29,2528
2020-09-23,2009,29,2594
2020-09-24,2023,30,2628
2020-09-25,2054,31,2692
2020-09-26,2075,31,2785
2020-09-27,2097,31,2833
2020-09-28,2146,33,2871
2020-09-29,2164,34,2896
2020-09-30,2235,35,2937
2020-10-01,2303,37,3012
2020-10-02,2375,39,3050
2020-10-03,2409,41,3092
2020-10-04,2448,43,3131
2020-10-05,2480,45,3174
2020-10-06,2547,46,3191
2020-10-07,2587,49,3216
2020-10-08,2615,49,3234
2020-10-09,2650,51,3246
2020-10-10,2721,53,3278
2020-10-11,2816,55,3321
2020-10-12,2920,55,3359
2020-10-13,2925,57,3366
2020-10-14,3014,59,3417
2020-10-15,3075,59,3459
2020-10-16,3129,59,3500
2020-10-17,3177,59,3531
2020-10-18,3233,59,3567
2020-10-19,3265,60,3597
2020-10-20,3276,62,3601
2020-10-21,3326,63,3643
2020-10-22,3361,63,3677
2020-10-23,3410,63,3727
2020-10-24,3465,63,3770
2020-10-25,3490,63,3819
2020-10-26,3525,64,3835
2020-10-27,3530,65,3840
2020-10-28,3534,67,3863
2020-10-29,3545,67,3875
2020-10-30,3558,67,3893
2020-10-31,3591,68,3913
2020-11-01,3617,72,3940
2020-11-02,3651,73,3958
2020-11-03,3655,73,3967
2020-11-04,3660,73,4004
2020-11-05,3740,73,4067
2020-11-06,3778,75,4093
2020-11-07,3786,75,4144
2020-11-08,3805,76,4195
