Date,Cured,Deaths,Confirmed
2020-04-07,0,0,1
2020-04-08,0,0,1
2020-04-09,0,0,1
2020-04-10,0,0,1
2020-04-11,0,0,2
2020-04-12,0,0,2
2020-04-13,0,0,2
2020-04-14,0,0,2
2020-04-15,0,0,2
2020-04-16,1,0,2
2020-04-17,1,0,2
2020-04-18,1,0,2
2020-04-19,1,0,2
2020-04-20,1,0,2
2020-04-21,1,0,2
2020-04-22,1,0,2
2020-04-23,1,0,2
2020-04-24,1,0,2
2020-04-25,1,0,2
2020-04-26,2,0,2
2020-04-27,2,0,2
2020-04-28,2,0,2
2020-04-29,2,0,2
2020-04-30,2,0,2
2020-05-01,2,0,2
2020-05-02,2,0,2
2020-05-03,2,0,4
2020-05-04,2,0,16
2020-05-05,2,0,29
2020-05-06,2,0,43
2020-05-07,2,0,43
2020-05-08,2,0,65
2020-05-09,2,0,118
2020-05-10,2,0,134
2020-05-11,2,0,150
2020-05-12,2,0,152
2020-05-13,2,0,154
2020-05-14,16,0,155
2020-05-15,29,0,156
2020-05-16,42,0,156
2020-05-17,64,0,167
2020-05-18,85,0,167
2020-05-19,85,0,167
2020-05-20,116,0,173
2020-05-21,133,0,173
2020-05-22,148,0,173
2020-05-23,152,0,175
2020-05-24,153,0,189
2020-05-25,165,0,191
2020-05-26,165,0,194
2020-05-27,165,0,207
2020-05-28,165,0,230
2020-05-29,167,0,242
2020-05-30,171,0,251
2020-05-31,172,0,268
2020-06-01,173,0,313
2020-06-02,173,0,420
2020-06-03,173,0,468
2020-06-04,173,0,468
2020-06-05,173,0,644
2020-06-06,173,0,692
2020-06-07,173,0,747
2020-06-08,192,0,800
2020-06-09,192,0,838
2020-06-10,192,1,864
2020-06-11,239,1,895
2020-06-12,278,1,913
2020-06-13,278,1,961
2020-06-14,315,1,1046
2020-06-15,315,1,1076
2020-06-16,433,1,1086
2020-06-17,433,1,1092
2020-06-18,556,1,1135
2020-06-19,639,1,1155
2020-06-20,657,1,1178
2020-06-21,680,1,1186
2020-06-22,759,1,1221
2020-06-23,782,1,1237
2020-06-24,807,1,1259
2020-06-25,897,1,1259
2020-06-26,1019,1,1290
2020-06-27,1055,1,1325
2020-06-28,1071,1,1334
2020-06-29,1079,1,1346
2020-06-30,1085,1,1380
2020-07-01,1086,1,1388
2020-07-02,1093,1,1396
2020-07-03,1146,1,1435
2020-07-04,1199,1,1525
2020-07-05,1202,1,1546
2020-07-06,1202,1,1568
2020-07-07,1219,1,1680
2020-07-08,1248,1,1704
2020-07-09,1324,1,1761
2020-07-10,1338,1,1776
2020-07-11,1372,1,1918
2020-07-12,1375,2,1949
2020-07-13,1421,2,2054
2020-07-14,1475,2,2080
2020-07-15,1538,2,2170
2020-07-16,1604,3,2268
2020-07-17,1604,3,2283
2020-07-18,1684,3,2366
2020-07-19,1735,5,2654
2020-07-20,1759,5,2878
2020-07-21,1845,7,3079
2020-07-22,1926,8,3331
2020-07-23,2032,9,3449
2020-07-24,2072,10,3656
2020-07-25,2131,11,3759
2020-07-26,2209,11,3862
2020-07-27,2361,13,3900
2020-07-28,2467,17,4049
2020-07-29,2621,21,4269
2020-07-30,2678,21,4485
2020-07-31,2962,21,4706
2020-08-01,3327,21,4978
2020-08-02,3463,23,5233
2020-08-03,3605,27,5374
2020-08-04,3675,28,5505
2020-08-05,3725,30,5628
2020-08-06,3793,31,5725
2020-08-07,3860,36,5853
2020-08-08,4084,37,5999
2020-08-09,4176,41,6146
2020-08-10,4443,42,6208
2020-08-11,4656,43,6372
2020-08-12,4838,43,6482
2020-08-13,4912,44,6603
2020-08-14,5015,46,6767
2020-08-15,5088,50,6934
2020-08-16,5151,55,7061
2020-08-17,5286,59,7204
2020-08-18,5404,62,7409
2020-08-19,5497,65,7645
2020-08-20,5565,65,7835
2020-08-21,5649,69,8091
2020-08-22,6061,70,8371
2020-08-23,6182,72,8702
2020-08-24,6341,73,8902
2020-08-25,6414,78,9195
2020-08-26,6574,83,9523
2020-08-27,6697,85,9908
2020-08-28,6839,89,10414
2020-08-29,7037,94,10857
2020-08-30,7232,98,11307
2020-08-31,7433,103,11644
2020-09-01,7674,113,12153
2020-09-02,7847,118,12702
2020-09-03,8033,126,13292
2020-09-04,8212,129,13816
2020-09-05,8483,136,14507
2020-09-06,8745,144,15109
2020-09-07,9048,149,15508
2020-09-08,9342,152,16135
2020-09-09,9653,161,16717
2020-09-10,9993,173,17252
2020-09-11,10255,173,17811
2020-09-12,10734,182,18281
2020-09-13,11132,194,18910
2020-09-14,11536,200,19165
2020-09-15,11925,207,19696
2020-09-16,12435,217,20150
2020-09-17,12956,222,20676
2020-09-18,13559,228,20949
2020-09-19,14142,235,21484
2020-09-20,14810,239,22032
2020-09-21,15464,245,22275
2020-09-22,15883,251,22834
2020-09-23,16486,253,23338
2020-09-24,16978,260,23789
2020-09-25,17487,265,24130
2020-09-26,17992,268,24408
2020-09-27,18392,270,24728
2020-09-28,18959,273,24921
2020-09-29,19203,276,25353
2020-09-30,19692,277,25734
2020-10-01,20092,283,26066
2020-10-02,20596,286,26362
2020-10-03,20897,289,26552
2020-10-04,21410,293,26874
2020-10-05,21876,299,27033
2020-10-06,22131,301,27308
2020-10-07,22623,301,27545
2020-10-08,23066,304,27759
2020-10-09,23474,311,27982
2020-10-10,23801,313,28153
2020-10-11,24086,315,28352
2020-10-12,24403,316,28461
2020-10-13,24623,317,28678
2020-10-14,25041,318,28859
2020-10-15,25394,319,29031
2020-10-16,25765,323,29193
2020-10-17,26035,326,29327
2020-10-18,26222,329,29468
2020-10-19,26550,331,29553
2020-10-20,26748,331,29688
2020-10-21,27013,332,29800
2020-10-22,27252,334,29925
2020-10-23,27502,339,30070
2020-10-24,27740,340,30135
2020-10-25,27886,343,30221
2020-10-26,28069,343,30257
2020-10-27,28153,344,30293
2020-10-28,28355,344,30453
2020-10-29,28525,345,30566
2020-10-30,28737,346,30663
2020-10-31,28878,346,30717
2020-11-01,29048,346,30794
2020-11-02,29234,348,30852
2020-11-03,29318,350,30989
2020-11-04,29430,353,31105
2020-11-05,29545,353,31237
2020-11-06,29666,354,31347
2020-11-07,29792,356,31434
2020-11-08,29858,357,31517
2020-11-09,29965,359,31543
2020-11-10,30009,359,31622
2020-11-11,30058,359,31706
2020-11-12,30208,359,31765
2020-11-13,30314,360,31841
2020-11-14,30414,362,31919
2020-11-15,30478,362,31945
2020-11-16,30555,364,31962
2020-11-17,30631,364,32039
2020-11-18,30750,364,32112
2020-11-19,30856,364,32217
2020-11-20,30968,365,32292
2020-11-21,31084,366,32367
2020-11-22,31179,366,32415
2020-11-23,31269,369,32434
2020-11-24,31296,370,32493
2020-11-25,31368,370,32528
2020-11-26,31441,370,32578
2020-11-27,31499,370,32610
2020-11-28,31568,370,32641
2020-11-29,31655,370,32674
2020-11-30,31730,370,32695
2020-12-01,31764,370,32726
2020-12-02,31821,372,32764
2020-12-03,31879,372,32803
2020-12-04,31947,372,32836
2020-12-05,32009,372,32860
2020-12-06,32068,372,32891
2020-12-07,32110,373,32897
2020-12-08,32125,373,32925
2020-12-09,32169,373,32945
2020-12-10,32204,373,32976
2020-12-11,32250,374,32997
2020-12-12,32285,375,33015
2020-12-13,32310,376,33038
2020-12-14,32342,376,33048
2020-12-15,32367,376,33057
2020-12-16,32397,378,33081
2020-12-17,32429,378,33098
2020-12-18,32471,378,33119
2020-12-19,32501,378,33144
2020-12-20,32532,378,33167
2020-12-21,32561,380,33175
2020-12-22,32595,380,33188
2020-12-23,32613,383,33203
2020-12-24,32640,384,33216
2020-12-25,32657,384,33225
2020-12-26,32672,385,33226
2020-12-27,32695,385,33237
2020-12-28,32711,385,33244
2020-12-29,32721,385,33246
2020-12-30,32735,385,33258
2020-12-31,32751,385,33264
2021-01-01,32779,385,33268
2021-01-02,32795,385,33276
2021-01-03,32809,385,33282
2021-01-04,32815,385,33283
2021-01-05,32826,385,33284
2021-01-06,32835,387,33286
2021-01-07,32843,387,33294
2021-01-08,32852,388,33299
2021-01-09,32854,388,33302
2021-01-10,32862,388,33307
2021-01-11,32869,388,33307
2021-01-12,32872,388,33309
2021-01-13,32880,389,33315
2021-01-14,32886,389,33320
2021-01-15,32890,390,33325
2021-01-16,32897,391,33329
2021-01-17,32902,391,33331
2021-01-18,32902,391,33332
2021-01-19,32905,391,33335
2021-01-20,32907,391,33336
2021-01-21,32911,391,33339
2021-01-22,32911,391,33342
2021-01-23,32919,391,33344
2021-01-24,32919,391,33345
2021-01-25,32922,391,33345
2021-01-26,32927,391,33346
2021-01-27,32931,391,33346
2021-01-28,32934,391,33346
2021-01-29,32936,391,33348
2021-01-30,32938,391,33350
2021-01-31,32939,391,33351
2021-02-01,32941,391,33351
2021-02-02,32943,391,33351
2021-02-03,32945,391,33351
2021-02-04,32948,391,33351
2021-02-05,32949,391,33352
2021-02-06,32950,391,33352
2021-02-07,32950,391,33352
2021-02-08,32953,391,33352
2021-02-09,32955,391,33353
2021-02-10,32955,391,33353
2021-02-11,32957,391,33353
2021-02-12,32959,391,33353
2021-02-13,32960,391,33353
2021-02-14,32960,391,33353
2021-02-15,32960,391,33353
2021-02-16,32960,391,33353
2021-02-17,32960,391,33355
2021-02-18,32961,391,33357
2021-02-19,32961,391,33366
2021-02-20,32961,391,33392
2021-02-21,32961,391,33393
2021-02-22,32962,391,33394
2021-02-23,32962,391,33398
2021-02-24,32962,391,33400
2021-02-25,32984,391,33400
2021-02-26,32984,391,33407
2021-02-27,32984,391,33407
2021-02-28,32985,391,33417
2021-03-01,32987,391,33417
2021-03-02,32987,391,33420
2021-03-03,32989,391,33420
2021-03-04,32998,391,33422
2021-03-05,33001,391,33424
2021-03-06,33002,391,33424
2021-03-07,33003,391,33424
2021-03-08,33003,391,33424
2021-03-09,33003,391,33424
2021-03-10,33010,391,33425
2021-03-11,33010,391,33425
2021-03-12,33016,391,33425
2021-03-13,33026,391,33427
2021-03-14,33026,391,33429
2021-03-15,33029,391,33433
2021-03-16,33029,391,33440
2021-03-17,33039,391,33441
2021-03-18,33041,391,33444
2021-03-19,33042,391,33454
2021-03-20,33043,391,33459
2021-03-21,33043,391,33464
2021-03-22,33043,391,33464
