Date,Cured,Deaths,Confirmed
2020-03-09,0,0,1
2020-03-10,0,0,1
2020-03-11,0,0,1
2020-03-12,0,0,1
2020-03-13,0,0,1
2020-03-14,0,0,2
2020-03-15,0,0,2
2020-03-16,0,0,3
2020-03-17,0,0,3
2020-03-18,0,0,3
2020-03-19,0,0,4
2020-03-20,0,0,4
2020-03-21,0,0,4
2020-03-22,0,0,4
2020-03-23,0,0,4
2020-03-24,0,0,4
2020-03-25,1,0,7
2020-03-26,1,0,13
2020-03-27,1,1,13
2020-03-28,1,1,20
2020-03-29,1,2,31
2020-03-30,2,2,48
2020-03-31,2,2,54
2020-04-01,2,2,62
2020-04-02,2,2,62
2020-04-03,3,2,75
2020-04-04,3,2,75
2020-04-05,4,2,106
2020-04-06,4,2,109
2020-04-07,4,2,116
2020-04-08,4,2,116
2020-04-09,4,4,158
2020-04-10,6,4,184
2020-04-11,6,4,207
2020-04-12,6,4,224
2020-04-13,6,4,245
2020-04-14,16,4,270
2020-04-15,30,4,278
2020-04-16,36,4,300
2020-04-17,38,4,314
2020-04-18,42,5,328
2020-04-19,51,5,341
2020-04-20,56,5,350
2020-04-21,71,5,368
2020-04-22,81,5,380
2020-04-23,92,5,407
2020-04-24,92,5,427
2020-04-25,109,5,454
2020-04-26,112,6,494
2020-04-27,137,6,523
2020-04-28,164,7,546
2020-04-29,176,8,565
2020-04-30,192,8,581
2020-05-01,216,8,614
2020-05-02,247,8,639
2020-05-03,254,8,666
2020-05-04,287,8,701
2020-05-05,303,8,726
2020-05-06,320,8,741
2020-05-07,322,8,775
2020-05-08,335,9,793
2020-05-09,364,9,823
2020-05-10,368,9,836
2020-05-11,383,9,861
2020-05-12,427,10,879
2020-05-13,455,10,934
2020-05-14,466,11,971
2020-05-15,485,11,983
2020-05-16,513,11,1013
2020-05-17,542,12,1121
2020-05-18,575,13,1183
2020-05-19,609,15,1289
2020-05-20,653,17,1317
2020-05-21,678,18,1390
2020-05-22,684,20,1449
2020-05-23,720,20,1489
2020-05-24,774,21,1569
2020-05-25,809,21,1621
2020-05-26,809,23,1668
2020-05-27,833,24,1759
2020-05-28,854,26,1921
2020-05-29,859,27,2036
2020-05-30,875,28,2164
2020-05-31,908,28,2341
2020-06-01,927,28,2446
2020-06-02,946,31,2601
2020-06-03,953,33,2718
2020-06-04,1007,34,2857
2020-06-05,1048,35,3142
2020-06-06,1086,36,3324
2020-06-07,1126,39,3467
2020-06-08,1216,41,4087
2020-06-09,1324,45,4285
2020-06-10,1506,48,4346
2020-06-11,1671,51,4507
2020-06-12,1820,52,4574
2020-06-13,2086,53,4730
2020-06-14,2269,55,4878
2020-06-15,2389,59,5041
2020-06-16,2604,62,5220
2020-06-17,2781,63,5298
2020-06-18,2914,65,5406
2020-06-19,3144,71,5555
2020-06-20,3194,75,5680
2020-06-21,3336,81,5834
2020-06-22,3382,82,5956
2020-06-23,3531,85,6088
2020-06-24,3642,87,6236
2020-06-25,3818,88,6422
2020-06-26,3967,90,6549
2020-06-27,4080,91,6762
2020-06-28,4225,93,6966
2020-06-29,4316,94,7093
2020-06-30,4585,95,7237
2020-07-01,4722,101,7497
2020-07-02,4856,105,7695
2020-07-03,4974,115,7849
2020-07-04,5075,119,8019
2020-07-05,5143,127,8246
2020-07-06,5255,132,8429
2020-07-07,5318,138,8675
2020-07-08,5399,143,8931
2020-07-09,5567,149,9261
2020-07-10,5695,154,9501
2020-07-11,5786,159,9888
2020-07-12,5895,169,10156
2020-07-13,5979,179,10513
2020-07-14,6095,187,10827
2020-07-15,6223,195,11173
2020-07-16,6337,206,11666
2020-07-17,6446,222,12156
2020-07-18,6558,231,12757
2020-07-19,7165,236,13198
2020-07-20,7811,244,13899
2020-07-21,8274,254,14650
2020-07-22,8455,263,15258
2020-07-23,8607,273,15711
2020-07-24,8709,282,16429
2020-07-25,9217,296,16782
2020-07-26,9517,305,17305
2020-07-27,9928,312,17920
2020-07-28,10402,321,18390
2020-07-29,10885,333,18879
2020-07-30,11322,348,19419
2020-07-31,11842,365,19869
2020-08-01,12217,377,20359
2020-08-02,12871,388,20972
2020-08-03,13127,396,21416
2020-08-04,14032,407,22006
2020-08-05,14856,417,22396
2020-08-06,15244,426,22955
2020-08-07,15708,436,23454
2020-08-08,16218,449,23927
2020-08-09,16667,459,24390
2020-08-10,17003,472,24897
2020-08-11,17375,478,25367
2020-08-12,17979,490,25931
2020-08-13,18523,498,26413
2020-08-14,19302,509,26949
2020-08-15,19942,520,27489
2020-08-16,20676,527,28021
2020-08-17,20943,542,28470
2020-08-18,21296,548,28892
2020-08-19,21886,561,29326
2020-08-20,22497,572,30034
2020-08-21,23225,578,30717
2020-08-22,23805,593,31371
2020-08-23,24398,608,31981
2020-08-24,24832,617,32647
2020-08-25,25205,624,33075
2020-08-26,25594,638,33776
2020-08-27,26193,657,34480
2020-08-28,26721,671,35135
2020-08-29,27372,678,35831
2020-08-30,28020,685,36377
2020-08-31,28510,694,37163
2020-09-01,29015,703,37698
2020-09-02,29484,717,38223
2020-09-03,30079,732,38864
2020-09-04,30759,743,39943
2020-09-05,31435,755,40990
2020-09-06,31924,770,42241
2020-09-07,32327,784,43557
2020-09-08,32760,801,44570
2020-09-09,33251,815,45925
2020-09-10,33871,832,47542
2020-09-11,34215,845,49134
2020-09-12,34689,854,50712
